,PKCosecha,PKCiclo,Fecha,Parcial,CantidadCosechada,PesoPromedio,Dispersion,VentaUSDReal,Usuario,TimeStamp,FechaSiembra,FechaCosecha,cycle_days
814,6322,4917,2021-11-10,0,673244,22.07,0,58778.0,16,11/18/21 08:53:37,2021-09-07,2021-11-10,64.0
815,6323,4968,2021-10-26,0,881000,0.2,0,0.0,16,11/22/21 09:58:44,2021-10-07,2021-10-26,19.0
816,6324,4956,2021-11-10,0,568000,0.22,0,0.0,16,11/22/21 10:12:32,2021-10-21,2021-11-10,20.0
817,6325,4970,2021-11-22,0,1399000,0.64999998,0,0.0,16,11/22/21 13:04:49,2021-11-03,2021-11-22,19.0
818,6326,4971,2021-11-19,0,983000,0.81,0,0.0,16,11/22/21 17:56:52,2021-11-04,2021-11-19,15.0
819,6327,4898,2021-11-19,0,1070850,24.139999,0,115727.0,16,12/01/21 08:50:30,2021-08-18,2021-11-19,93.0
820,6328,4979,2021-11-26,0,1936000,0.33000001,0,0.0,16,12/01/21 08:32:59,2021-11-05,2021-11-26,21.0
821,6329,4983,2021-11-30,0,1556000,0.1,0,0.0,16,12/01/21 08:34:47,2021-11-17,2021-11-30,13.0
822,6330,4982,2021-11-30,0,1729000,0.11,0,0.0,16,12/01/21 08:40:09,2021-11-17,2021-11-30,13.0
823,6331,4984,2021-11-30,0,966000,0.1,0,0.0,16,12/01/21 08:43:48,2021-11-17,2021-11-30,13.0
824,6332,4903,2021-11-23,0,664629,31.290001,0,91552.0,16,12/01/21 08:51:29,2021-08-25,2021-11-23,90.0
825,6333,4911,2021-11-23,0,147881,21.77,0,12923.0,16,12/01/21 08:52:39,2021-09-03,2021-11-23,81.0
826,6334,4909,2021-12-01,0,933058,26.620001,0,101272.0,16,12/01/21 08:53:58,2021-09-02,2021-12-01,90.0
827,6335,4910,2021-11-26,0,120933,24.059999,0,11443.0,16,12/01/21 08:54:46,2021-09-03,2021-11-26,84.0
828,6336,4916,2021-11-30,0,861086,25.92,0,94032.0,16,12/07/21 15:22:16,2021-09-07,2021-11-30,84.0
829,6337,4912,2021-11-30,0,687220,25.23,0,72988.0,16,12/07/21 15:22:59,2021-09-03,2021-11-30,88.0
830,6338,4930,2021-11-27,1,221573,19.33,0,14870.0,16,12/06/21 11:19:10,2021-09-24,2021-12-14,64.0
831,6339,4942,2021-11-27,1,292412,13.22,0,11481.0,16,12/06/21 11:19:39,2021-10-06,2022-01-06,52.0
832,6340,4988,2021-12-01,0,901000,0.090000004,0,0.0,16,12/06/21 09:52:44,2021-11-18,2021-12-01,13.0
833,6341,4981,2021-12-01,0,891000,0.11,0,0.0,16,12/06/21 09:53:10,2021-11-17,2021-12-01,14.0
834,6342,4919,2021-12-07,0,1170366,23.17,0,110695.0,16,12/15/21 18:26:32,2021-09-09,2021-12-07,89.0
835,6343,4918,2021-12-10,0,1287854,22.59,0,116150.0,16,12/20/21 19:53:00,2021-09-08,2021-12-10,93.0
836,6344,4921,2021-12-13,0,595150,26.85,0,63390.0,16,01/06/22 21:39:57,2021-09-10,2021-12-13,94.0
837,6345,4930,2021-12-14,0,1109063,25.0,0,116863.0,16,01/06/22 22:01:58,2021-09-24,2021-12-14,81.0
838,6346,4940,2021-12-08,1,125348,17.950001,0,7540.0,16,12/20/21 19:56:28,2021-10-05,2022-01-05,64.0
839,6347,4941,2021-12-09,1,135261,18.65,0,8357.0,16,12/20/21 19:56:50,2021-10-05,2022-01-03,65.0
840,6348,4987,2021-12-07,0,424000,0.23999999,0,0.0,16,12/15/21 19:07:31,2021-11-18,2021-12-07,19.0
841,6349,4991,2021-12-08,0,2447000,0.36000001,0,0.0,16,12/15/21 19:11:43,2021-11-30,2021-12-08,8.0
842,6350,4992,2021-12-09,0,3274000,0.40000001,0,0.0,16,12/15/21 19:17:56,2021-11-30,2021-12-09,9.0
843,6351,4927,2021-12-17,0,861069,26.559999,0,95419.0,16,01/06/22 22:03:30,2021-09-17,2021-12-17,91.0
844,6352,4920,2021-12-18,0,631980,30.5,0,81580.0,16,01/06/22 22:04:29,2021-09-10,2021-12-18,99.0
845,6353,4952,2021-12-16,1,253647,17.0,0,14194.0,16,01/06/22 22:06:44,2021-10-14,2022-01-27,63.0
846,6354,4950,2021-12-16,1,82615,18.0,0,4962.0,16,01/06/22 22:07:27,2021-10-13,2022-01-16,64.0
847,6355,4947,2021-12-16,1,99477,17.0,0,5323.0,16,01/06/22 22:12:33,2021-10-13,2022-01-16,64.0
848,6356,4965,2021-12-18,1,451315,14.01,0,19561.0,16,01/06/22 22:13:14,2021-10-22,2022-01-25,57.0
849,6357,4942,2021-12-19,1,167265,21.459999,0,13846.0,16,01/06/22 22:13:59,2021-10-06,2022-01-06,74.0
850,6358,4966,2021-12-19,1,438694,13.74,0,18010.0,16,01/06/22 22:14:38,2021-10-26,2022-01-27,54.0
851,6359,4953,2021-12-20,1,285856,15.81,0,15143.0,16,01/06/22 22:15:27,2021-10-14,2022-02-01,67.0
852,6360,4948,2021-12-20,1,81674,19.5,0,5839.0,16,01/06/22 22:16:16,2021-10-13,2022-01-20,68.0
853,6361,4996,2021-12-17,0,1861000,0.090000004,0,0.0,16,12/20/21 20:03:09,2021-12-05,2021-12-17,12.0
854,6362,4989,2021-12-10,0,1452000,0.25999999,0,0.0,16,12/20/21 20:05:31,2021-11-22,2021-12-10,18.0
855,6363,4993,2021-12-22,0,2172000,0.28,0,0.0,16,01/06/22 19:43:26,2021-12-02,2021-12-22,20.0
856,6364,4995,2021-12-28,0,2772000,0.41999999,0,0.0,16,01/06/22 21:24:14,2021-12-05,2021-12-28,23.0
857,6365,4994,2021-12-29,0,4960000,0.44,0,0.0,16,01/06/22 21:28:24,2021-12-04,2021-12-29,25.0
858,6366,5008,2021-12-31,0,957000,0.12,0,0.0,16,01/06/22 21:31:58,2021-12-17,2021-12-31,14.0
859,6367,5005,2021-12-31,0,677000,0.15000001,0,0.0,16,01/06/22 21:35:57,2021-12-17,2021-12-31,14.0
860,6368,4974,2021-12-29,1,546586,14.12,0,24084.0,16,01/06/22 22:16:59,2021-10-28,2022-02-02,62.0
861,6369,4975,2021-12-30,1,281673,14.19,0,12160.0,16,01/06/22 22:17:39,2021-10-28,2022-01-26,63.0
862,6370,5006,2022-01-01,0,1050000,0.12,0,0.0,16,01/06/22 22:32:20,2021-12-17,2022-01-01,15.0
863,6371,5007,2022-01-01,0,1008000,0.13,0,0.0,16,01/06/22 22:34:40,2021-12-17,2022-01-01,15.0
864,6372,4940,2022-01-05,0,634722,25.110001,0,71128.0,16,01/11/22 13:24:58,2021-10-05,2022-01-05,92.0
865,6373,4941,2022-01-03,0,513669,24.799999,0,55801.0,16,01/21/22 13:23:19,2021-10-05,2022-01-03,90.0
866,6374,4974,2022-01-05,1,457673,15.34,0,27083.0,16,01/21/22 13:28:15,2021-10-28,2022-02-02,69.0
867,6375,4942,2022-01-06,0,693499,24.35,0,73916.0,16,01/11/22 13:26:47,2021-10-06,2022-01-06,92.0
